EAST, WEST, NORTH, SOUTH
L,T,R,Total,L,T,R,Total,L,T,R,Total,L,T,R,Total,Vehicle Total
5:00 AM,1,1,1,3,0,2,0,2,1,3,1,5,1,7,1,9,19
5:05 AM,1,1,1,3,1,3,1,5,0,4,1,5,0,2,0,2,15
5:10 AM,0,2,1,3,2,2,1,5,0,7,0,7,0,3,0,3,18
5:15 AM,2,1,1,4,0,1,0,1,0,5,1,6,0,2,0,2,13
5:20 AM,1,0,1,2,2,0,2,4,3,8,2,13,0,5,0,5,24
5:25 AM,2,0,1,3,2,2,2,6,1,17,1,19,1,4,0,5,33
5:30 AM,0,3,1,4,4,4,0,8,1,13,1,15,0,10,0,10,37
5:35 AM,3,2,3,8,2,5,3,10,0,15,0,15,1,8,2,11,44
5:40 AM,1,2,0,3,3,4,0,7,2,7,2,11,1,16,2,19,40
5:45 AM,2,0,2,4,0,5,2,7,2,14,2,18,1,11,2,14,43
5:50 AM,2,4,1,7,2,5,1,8,1,13,3,17,0,6,0,6,38
5:55 AM,0,1,1,2,4,4,1,9,2,16,2,20,1,12,0,13,44
6:00 AM,1,3,4,8,1,1,2,4,1,14,1,16,1,6,0,7,35
6:05 AM,2,5,2,9,1,9,3,13,1,14,0,15,0,15,3,18,55
6:10 AM,2,2,1,5,2,8,4,14,1,17,2,20,0,12,5,17,56
6:15 AM,3,1,1,5,4,1,2,7,0,8,1,9,1,12,3,16,37
6:20 AM,3,1,5,9,3,3,5,11,3,16,3,22,0,14,2,16,58
6:25 AM,7,5,0,12,2,13,3,18,4,30,2,36,5,17,3,25,91
6:30 AM,2,4,1,7,2,7,5,14,3,28,1,32,2,15,4,21,74
6:35 AM,3,2,2,7,4,5,4,13,3,35,0,38,1,19,4,24,82
6:40 AM,5,5,3,13,8,6,2,16,1,41,4,46,3,30,2,35,110
6:45 AM,2,3,1,6,7,9,5,21,4,42,2,48,0,31,1,32,107
6:50 AM,7,12,1,20,5,14,2,21,4,40,3,47,1,39,6,46,134
6:55 AM,4,11,2,17,2,7,9,18,4,41,1,46,3,22,5,30,111
7:00 AM,3,6,5,14,5,12,2,19,4,48,4,56,4,34,1,39,128
7:05 AM,6,3,2,11,6,6,6,18,6,36,5,47,1,28,1,30,106
7:10 AM,7,9,7,23,2,13,2,17,5,40,6,51,0,23,3,26,117
7:15 AM,5,15,3,23,8,17,7,32,6,58,2,66,9,43,2,54,175
7:20 AM,13,17,5,35,9,17,8,34,3,54,2,59,2,25,7,34,162
7:25 AM,5,11,3,19,5,13,3,21,3,79,1,83,7,53,10,70,193
7:30 AM,4,12,3,19,9,18,6,33,5,49,5,59,0,33,7,40,151
7:35 AM,3,7,2,12,5,8,4,17,3,88,3,94,5,50,4,59,182
7:40 AM,13,11,8,32,14,13,5,32,5,55,2,62,1,54,6,61,187
7:45 AM,7,11,7,25,14,16,2,32,14,95,13,122,2,63,15,80,259
7:50 AM,19,8,7,34,10,21,11,42,10,61,5,76,2,59,7,68,220
7:55 AM,6,7,3,16,5,8,6,19,2,98,2,102,5,62,8,75,212
8:00 AM,11,7,6,24,12,17,3,32,6,72,6,84,0,49,4,53,193
8:05 AM,5,6,5,16,5,13,10,28,4,76,5,85,2,51,4,57,186
8:10 AM,11,16,6,33,14,21,2,37,8,64,4,76,3,44,9,56,202
8:15 AM,11,8,9,28,6,18,4,28,5,98,5,108,5,52,12,69,233
8:20 AM,16,8,3,27,9,16,9,34,1,52,5,58,2,46,11,59,178
8:25 AM,6,8,3,17,4,13,7,24,11,121,7,139,2,39,4,45,225
8:30 AM,8,14,6,28,6,14,11,31,4,64,4,72,8,50,2,60,191
8:35 AM,12,16,6,34,10,20,8,38,7,85,6,98,1,59,7,67,237
8:40 AM,8,8,3,19,12,21,7,40,4,61,8,73,2,58,13,73,205
8:45 AM,14,10,7,31,16,14,4,34,4,100,7,111,1,48,8,57,233
8:50 AM,10,20,5,35,13,21,10,44,4,61,8,73,2,47,6,55,207
8:55 AM,8,9,9,26,10,19,9,38,6,86,8,100,1,54,9,64,228
9:00 AM,5,8,6,19,12,25,12,49,1,68,3,72,3,55,7,65,205
9:05 AM,7,6,5,18,9,17,10,36,10,56,9,75,3,42,12,57,186
9:10 AM,18,12,5,35,5,11,7,23,3,52,2,57,2,47,8,57,172
9:15 AM,7,8,6,21,8,8,10,26,9,58,0,67,3,54,6,63,177
9:20 AM,16,16,6,38,8,19,9,36,5,59,3,67,3,45,8,56,197
9:25 AM,11,6,3,20,4,16,9,29,7,58,5,70,3,57,9,69,188
9:30 AM,8,7,5,20,6,17,7,30,5,49,4,58,0,50,9,59,167
9:35 AM,8,14,12,34,7,12,7,26,7,47,3,57,3,50,5,58,175
9:40 AM,8,15,3,26,2,12,9,23,3,53,2,58,4,53,6,63,170
9:45 AM,10,6,5,21,2,11,7,20,8,52,1,61,4,49,3,56,158
9:50 AM,10,12,5,27,6,17,9,32,5,58,3,66,3,50,12,65,190
9:55 AM,16,16,8,40,5,11,5,21,8,69,3,80,4,55,6,65,206
10:00 AM,10,12,4,26,7,8,6,21,5,46,6,57,4,47,4,55,159
10:05 AM,12,11,4,27,8,24,7,39,11,50,2,63,1,51,9,61,190
10:10 AM,15,16,6,37,10,23,14,47,6,49,3,58,3,40,12,55,197
10:15 AM,7,20,2,29,10,17,8,35,1,47,2,50,2,37,5,44,158
10:20 AM,11,5,11,27,5,12,10,27,4,68,5,77,4,61,7,72,203
10:25 AM,7,18,1,26,6,11,10,27,2,64,7,73,7,60,9,76,202
10:30 AM,15,11,5,31,7,14,5,26,6,68,4,78,1,43,6,50,185
10:35 AM,12,22,5,39,16,25,5,46,6,43,3,52,4,48,13,65,202
10:40 AM,14,10,9,33,15,22,4,41,2,69,4,75,9,56,6,71,220
10:45 AM,5,13,4,22,13,12,8,33,7,61,6,74,4,67,13,84,213
10:50 AM,11,14,4,29,12,24,3,39,2,65,5,72,5,53,11,69,209
10:55 AM,12,24,6,42,13,17,8,38,2,51,9,62,5,60,9,74,216
11:00 AM,17,19,5,41,9,12,9,30,8,37,8,53,4,44,6,54,178
11:05 AM,8,10,7,25,15,25,2,42,6,44,7,57,4,59,6,69,193
11:10 AM,7,11,5,23,7,19,6,32,5,39,3,47,4,75,10,89,191
11:15 AM,15,16,2,33,5,24,6,35,8,47,3,58,10,60,11,81,207
11:20 AM,11,21,4,36,16,13,11,40,3,48,8,59,2,69,9,80,215
11:25 AM,9,18,8,35,11,15,3,29,8,59,8,75,2,76,9,87,226
11:30 AM,12,17,3,32,11,11,6,28,7,65,7,79,7,74,8,89,228
11:35 AM,17,19,12,48,10,22,6,38,4,68,9,81,5,65,11,81,248
11:40 AM,19,23,3,45,12,17,15,44,5,59,3,67,5,56,6,67,223
11:45 AM,13,17,10,40,10,26,7,43,6,64,6,76,2,67,7,76,235
11:50 AM,11,16,4,31,10,17,6,33,8,67,2,77,6,93,10,109,250
11:55 AM,15,16,6,37,6,17,8,31,10,66,3,79,8,95,8,111,258
12:00 PM,12,15,4,31,7,20,6,33,8,63,5,76,2,61,9,72,212
12:05 PM,5,16,15,36,14,25,8,47,4,64,7,75,3,57,17,77,235
12:10 PM,16,18,2,36,6,16,2,24,4,58,7,69,4,75,17,96,225
12:15 PM,10,19,5,34,12,11,5,28,7,77,6,90,6,85,10,101,253
12:20 PM,17,21,7,45,4,14,3,21,6,64,9,79,3,76,14,93,238
12:25 PM,19,23,14,56,13,17,6,36,12,52,5,69,8,58,8,74,235
12:30 PM,12,23,8,43,9,14,9,32,3,54,3,60,5,73,7,85,220
12:35 PM,18,17,6,41,9,18,9,36,8,57,6,71,3,77,8,88,236
12:40 PM,17,8,11,36,10,19,8,37,9,56,5,70,5,71,9,85,228
12:45 PM,13,14,8,35,13,17,10,40,4,57,10,71,4,74,6,84,230
12:50 PM,14,17,9,40,8,26,5,39,4,60,8,72,2,65,5,72,223
12:55 PM,16,15,7,38,15,22,8,45,5,75,2,82,3,56,5,64,229
1:00 PM,6,13,7,26,10,12,11,33,4,70,10,84,10,73,11,94,237
1:05 PM,16,15,11,42,8,25,4,37,8,59,5,72,4,51,5,60,211
1:10 PM,16,17,9,42,7,18,8,33,9,48,10,67,4,70,9,83,225
1:15 PM,20,21,11,52,13,20,7,40,4,61,7,72,5,70,8,83,247
1:20 PM,14,25,7,46,5,22,6,33,12,74,6,92,4,77,10,91,262
1:25 PM,6,14,3,23,6,14,5,25,7,75,7,89,2,89,4,95,232
1:30 PM,18,14,5,37,7,18,7,32,6,74,5,85,7,73,2,82,236
1:35 PM,10,21,5,36,10,23,9,42,8,47,11,66,6,70,13,89,233
1:40 PM,20,17,10,47,11,22,10,43,6,70,6,82,1,86,12,99,271
1:45 PM,15,13,7,35,17,17,7,41,7,68,8,83,8,90,14,112,271
1:50 PM,10,22,3,35,15,28,5,48,11,72,9,92,7,79,7,93,268
1:55 PM,7,14,7,28,18,21,7,46,9,72,8,89,9,68,10,87,250
2:00 PM,10,20,6,36,11,23,6,40,5,47,7,59,10,71,12,93,228
2:05 PM,9,18,7,34,5,18,5,28,10,74,8,92,4,81,7,92,246
2:10 PM,13,17,5,35,11,20,10,41,6,61,10,77,7,77,11,95,248
2:15 PM,14,24,3,41,14,25,8,47,11,42,9,62,3,73,10,86,236
2:20 PM,15,18,11,44,13,23,10,46,8,46,5,59,3,60,6,69,218
2:25 PM,12,19,5,36,15,24,7,46,7,55,12,74,7,62,4,73,229
2:30 PM,8,19,6,33,11,18,12,41,8,64,3,75,5,48,14,67,216
2:35 PM,14,29,4,47,8,20,6,34,6,60,9,75,8,93,12,113,269
2:40 PM,17,20,12,49,16,26,2,44,5,62,7,74,2,65,10,77,244
2:45 PM,12,27,7,46,9,15,5,29,10,62,6,78,2,73,9,84,237
2:50 PM,11,11,13,35,11,21,6,38,6,70,10,86,3,108,12,123,282
2:55 PM,13,18,6,37,10,19,4,33,6,60,11,77,4,69,13,86,233
3:00 PM,17,27,8,52,11,19,3,33,5,58,6,69,9,66,8,83,237
3:05 PM,9,13,17,39,13,21,7,41,9,41,11,61,3,77,14,94,235
3:10 PM,10,20,3,33,12,9,7,28,10,62,11,83,3,85,9,97,241
3:15 PM,9,12,13,34,10,14,5,29,13,62,11,86,6,80,9,95,244
3:20 PM,14,20,8,42,8,16,6,30,6,69,2,77,8,93,8,109,258
3:25 PM,13,23,6,42,9,15,8,32,12,58,10,80,4,83,14,101,255
3:30 PM,7,16,6,29,11,17,7,35,13,64,7,84,5,75,9,89,237
3:35 PM,18,17,5,40,15,16,7,38,8,69,6,83,3,94,12,109,270
3:40 PM,12,24,15,51,13,28,6,47,4,77,9,90,3,99,14,116,304
3:45 PM,13,24,12,49,10,29,4,43,10,63,4,77,1,101,6,108,277
3:50 PM,16,27,14,57,8,24,7,39,10,82,8,100,6,95,9,110,306
3:55 PM,8,25,9,42,8,16,10,34,7,68,16,91,4,107,8,119,286
4:00 PM,11,19,7,37,4,24,2,30,10,67,9,86,1,105,17,123,276
4:05 PM,16,19,9,44,12,21,3,36,7,74,7,88,9,113,15,137,305
4:10 PM,12,25,10,47,11,20,3,34,9,79,9,97,8,100,8,116,294
4:15 PM,20,29,8,57,8,19,9,36,11,88,6,105,9,115,15,139,337
4:20 PM,20,27,11,58,8,22,4,34,10,81,5,96,8,107,18,133,321
4:25 PM,18,26,11,55,10,17,8,35,13,65,11,89,6,117,11,134,313
4:30 PM,10,21,5,36,9,17,6,32,12,75,2,89,3,113,17,133,290
4:35 PM,11,24,11,46,8,13,3,24,8,78,10,96,7,94,12,113,279
4:40 PM,13,28,20,61,6,22,2,30,13,87,11,111,5,127,15,147,349
4:45 PM,18,22,9,49,15,18,9,42,11,76,8,95,8,104,10,122,308
4:50 PM,15,31,18,64,11,28,7,46,13,80,7,100,4,100,12,116,326
4:55 PM,12,17,11,40,8,25,8,41,10,79,9,98,5,115,16,136,315
5:00 PM,17,27,13,57,12,16,6,34,12,87,7,106,6,114,19,139,336
5:05 PM,20,32,23,75,8,15,8,31,7,70,12,89,6,107,19,132,327
5:10 PM,16,42,15,73,5,10,5,20,18,75,6,99,7,112,13,132,324
5:15 PM,15,29,10,54,14,17,7,38,7,76,7,90,6,108,10,124,306
5:20 PM,11,24,3,38,6,18,5,29,13,78,12,103,7,103,8,118,288
5:25 PM,16,29,11,56,10,12,7,29,15,74,13,102,3,93,16,112,299
5:30 PM,15,26,9,50,7,22,4,33,12,78,12,102,4,52,13,69,254
5:35 PM,18,17,7,42,15,14,7,36,11,78,10,99,8,32,6,46,223
5:40 PM,13,20,10,43,11,28,5,44,12,79,13,104,2,64,11,77,268
5:45 PM,16,19,4,39,15,22,6,43,9,87,10,106,3,67,11,81,269
5:50 PM,15,22,11,48,8,13,6,27,9,90,9,108,3,64,7,74,257
5:55 PM,16,25,4,45,13,14,5,32,18,53,9,80,9,80,9,98,255
6:00 PM,9,25,6,40,8,9,7,24,8,56,11,75,3,80,3,86,225
6:05 PM,12,17,3,32,9,19,10,38,12,65,7,84,9,58,15,82,236
6:10 PM,18,21,10,49,7,16,8,31,7,87,5,99,7,76,9,92,271
6:15 PM,17,25,15,57,5,17,3,25,4,71,5,80,8,86,8,102,264
6:20 PM,9,20,8,37,12,18,5,35,15,67,6,88,6,87,14,107,267
6:25 PM,10,17,11,38,10,15,7,32,8,41,4,53,4,69,8,81,204
6:30 PM,13,17,5,35,6,17,2,25,6,74,12,92,4,70,7,81,233
6:35 PM,19,13,8,40,8,10,5,23,6,61,9,76,4,62,11,77,216
6:40 PM,12,12,8,32,8,14,6,28,9,62,6,77,9,74,11,94,231
6:45 PM,13,17,6,36,8,22,2,32,7,56,5,68,5,62,8,75,211
6:50 PM,12,14,3,29,10,14,3,27,6,47,5,58,2,55,10,67,181
6:55 PM,7,13,4,24,7,15,5,27,8,49,11,68,4,43,8,55,174
7:00 PM,11,11,8,30,4,13,4,21,7,59,9,75,0,60,6,66,192
7:05 PM,8,7,4,19,11,7,3,21,6,45,5,56,1,64,10,75,171
7:10 PM,11,17,6,34,10,15,2,27,6,55,4,65,3,42,6,51,177
7:15 PM,15,19,3,37,7,10,3,20,4,48,5,57,0,63,7,70,184
7:20 PM,8,18,3,29,4,13,7,24,7,55,6,68,5,59,6,70,191
7:25 PM,9,12,3,24,4,12,5,21,9,42,4,55,4,47,2,53,153
7:30 PM,13,13,0,26,6,12,3,21,7,27,4,38,1,56,5,62,147
7:35 PM,11,7,4,22,6,19,3,28,8,34,8,50,4,45,10,59,159
7:40 PM,5,13,9,27,3,14,3,20,4,31,6,41,6,50,7,63,151
7:45 PM,7,11,7,25,3,10,1,14,3,31,8,42,4,43,2,49,130
7:50 PM,10,13,5,28,5,9,7,21,6,30,1,37,2,46,4,52,138
7:55 PM,1,9,3,13,8,4,2,14,2,33,4,39,2,43,7,52,118
