EAST, WEST, NORTH, SOUTH
L,T,TR,Total,L,T,TR,Total,L,T,R,Total,L,T,R,Total,Vehicle Total
5:00 AM,10,5,3,18,0,0,7,7,0,50,5,55,1,10,2,13,93
5:05 AM,5,6,4,15,1,3,8,12,1,42,1,44,3,13,1,17,88
5:10 AM,7,6,1,14,0,0,3,3,0,44,2,46,2,19,1,22,85
5:15 AM,6,7,2,15,2,3,4,9,1,66,2,69,3,10,2,15,108
5:20 AM,12,12,6,30,3,5,9,17,0,55,3,58,0,15,0,15,120
5:25 AM,18,11,8,37,0,2,8,10,0,58,8,66,1,9,2,12,125
5:30 AM,21,3,4,28,1,7,8,16,0,66,6,72,1,13,1,15,131
5:35 AM,20,11,3,34,0,3,10,13,1,67,6,74,3,12,3,18,139
5:40 AM,20,11,6,37,4,7,6,17,2,95,7,104,4,17,3,24,182
5:45 AM,14,14,4,32,6,4,9,19,0,120,3,123,1,19,2,22,196
5:50 AM,10,9,5,24,1,5,7,13,2,79,9,90,3,17,3,23,150
5:55 AM,6,10,9,25,0,2,12,14,3,65,5,73,5,22,4,31,143
6:00 AM,15,14,9,38,1,5,9,15,0,65,3,68,4,18,1,23,144
6:05 AM,10,11,6,27,2,7,11,20,0,80,6,86,7,13,8,28,161
6:10 AM,26,18,9,53,6,0,7,13,3,86,6,95,3,28,7,38,199
6:15 AM,19,13,7,39,4,4,9,17,0,83,13,96,5,26,4,35,187
6:20 AM,13,11,9,33,12,5,9,26,2,91,5,98,6,19,4,29,186
6:25 AM,25,20,12,57,3,6,5,14,2,92,9,103,7,20,4,31,205
6:30 AM,19,17,13,49,7,11,11,29,1,116,6,123,8,18,7,33,234
6:35 AM,28,23,12,63,5,8,10,23,3,95,14,112,7,31,5,43,241
6:40 AM,17,19,15,51,6,14,8,28,3,112,9,124,8,35,3,46,249
6:45 AM,20,26,13,59,7,9,11,27,5,96,12,113,8,36,5,49,248
6:50 AM,12,16,8,36,7,7,11,25,0,135,9,144,4,44,6,54,259
6:55 AM,15,16,10,41,7,10,6,23,3,82,9,94,10,27,9,46,204
7:00 AM,16,28,12,56,13,19,15,47,1,66,9,76,4,41,8,53,232
7:05 AM,20,19,16,55,15,20,10,45,2,105,14,121,9,33,9,51,272
7:10 AM,22,25,13,60,15,15,16,46,3,91,8,102,9,54,5,68,276
7:15 AM,12,21,19,52,9,19,9,37,0,124,10,134,11,42,5,58,281
7:20 AM,21,22,17,60,16,18,12,46,4,92,5,101,7,53,7,67,274
7:25 AM,28,23,16,67,10,14,8,32,2,103,12,117,10,53,8,71,287
7:30 AM,27,26,15,68,9,14,12,35,2,101,15,118,12,29,8,49,270
7:35 AM,27,25,25,77,7,12,15,34,3,98,14,115,8,26,5,39,265
7:40 AM,20,31,7,58,9,7,20,36,3,106,10,119,13,31,2,46,259
7:45 AM,20,24,20,64,11,24,22,57,5,107,16,128,9,28,7,44,293
7:50 AM,21,26,18,65,9,20,16,45,2,99,16,117,12,42,5,59,286
7:55 AM,28,23,16,67,18,20,14,52,4,91,10,105,11,38,6,55,279
8:00 AM,22,19,20,61,11,16,21,48,5,78,3,86,8,28,6,42,237
8:05 AM,12,21,15,48,4,17,15,36,2,88,9,99,9,34,8,51,234
