EAST, WEST, NORTH, SOUTH
L,T,R,Total,L,T,R,Total,L,T,R,Total,L,T,R,Total,Vehicle Total
5:00 AM,3,10,1,14,2,14,2,18,4,3,1,8,5,7,1,13,53
5:05 AM,2,9,0,11,1,12,2,15,1,6,2,9,3,5,2,10,45
5:10 AM,0,5,1,6,1,14,3,18,1,2,0,3,2,2,0,4,31
5:15 AM,2,9,1,12,2,18,0,20,2,2,0,4,1,4,0,5,41
5:20 AM,0,9,3,12,1,21,4,26,3,8,2,13,5,9,2,16,67
5:25 AM,1,14,2,17,1,22,8,31,1,6,0,7,2,10,2,14,69
5:30 AM,2,10,2,14,0,25,5,30,5,8,3,16,3,8,1,12,72
5:35 AM,4,22,2,28,1,35,6,42,4,12,1,17,5,8,3,16,103
5:40 AM,4,16,1,21,2,17,1,20,7,10,2,19,5,18,4,27,87
5:45 AM,5,14,3,22,4,28,9,41,12,6,2,20,6,18,4,28,111
5:50 AM,3,25,4,32,4,26,7,37,8,14,6,28,4,26,4,34,131
5:55 AM,2,28,6,36,2,32,5,39,6,18,4,28,9,12,4,25,128
6:00 AM,6,22,4,32,7,34,4,45,6,14,4,24,6,16,0,22,123
6:05 AM,3,23,1,27,3,28,11,42,6,16,3,25,4,14,2,20,114
6:10 AM,6,25,2,33,2,28,9,39,6,11,2,19,10,20,1,31,122
6:15 AM,5,17,4,26,1,30,5,36,5,6,3,14,6,13,5,24,100
6:20 AM,3,21,5,29,5,37,10,52,8,15,4,27,12,17,5,34,142
6:25 AM,5,26,3,34,6,47,9,62,5,18,3,26,8,12,5,25,147
6:30 AM,7,38,2,47,4,56,5,65,6,20,3,29,14,19,5,38,179
6:35 AM,9,21,4,34,4,32,3,39,8,20,4,32,15,25,4,44,149
6:40 AM,6,45,8,59,6,83,12,101,7,23,5,35,8,25,3,36,231
6:45 AM,8,44,5,57,2,48,11,61,15,29,8,52,13,40,6,59,229
6:50 AM,17,36,7,60,15,71,10,96,19,33,2,54,13,34,5,52,262
6:55 AM,4,50,2,56,4,41,8,53,11,17,4,32,15,17,8,40,181
7:00 AM,13,62,10,85,11,60,18,89,9,14,0,23,12,28,5,45,242
7:05 AM,6,41,4,51,5,44,8,57,12,31,5,48,18,33,7,58,214
7:10 AM,16,72,8,96,12,58,12,82,14,31,4,49,21,37,3,61,288
7:15 AM,15,45,8,68,4,37,14,55,17,26,4,47,21,35,3,59,229
7:20 AM,21,80,5,106,15,75,23,113,16,31,9,56,25,32,3,60,335
7:25 AM,11,37,4,52,11,65,14,90,15,37,7,59,44,47,6,97,298
7:30 AM,16,121,5,142,12,76,26,114,13,28,7,48,16,40,8,64,368
7:35 AM,20,87,6,113,17,47,20,84,16,53,9,78,41,74,12,127,402
7:40 AM,22,104,9,135,23,87,19,129,23,40,4,67,29,54,11,94,425
